Ingredient,Frequency
"Citrus Aurantium Dulcis (Orange) Fruit Extract",5
"Prunus Mume Fruit Extract",5
"Solanum Melongena (Eggplant) Fruit Extract",5
"Aqua (Water)",5
"tartaric Acid",5
"Disodium Laureth Sulfosuccinate",5
"Ceramide 3",5
"Scenedesmus Rubescens Extract",5
"Polyglyceryl-3 Distearate",5
"Bellis Perennis (Daisy) Flower Extract",5
"Glycereth-25 PCA Isostearate",5
"Laminaria Japonica Extract",5
"Cetrimonium Chloride",5
"Triticum Vulgare (Wheat) Sprout Extract",5
"Beta Vulgaris (Beet) Root Extract",5
"Nelumbo Nucifera Seed Extract",5
"Arctium Lappa Seed Extract",5
"Glycyrrhiza Uralensis (Licorice) Root Extract",5
"Andrographis Paniculata Extract",5
"Forsythia Suspensa Fruit Extract",5
"Persea Gratissima (Avocado) Oil",5
"Hydrolyzed Wheat Protein",5
"Sorbitan Palmitate",5
"Hypericum Perforatum Flower Extract",5
"Squalene",5
"Camellia Sinensis Extract",5
"Olea Europaea Leaf Extract",5
"Salvia Officinalis Leaf Extract",5
"Tocopherol Acetate",5
"Centella Asiatica Leaf Vesicles",5
"Alpha Arbutin",5
"Polysorbate-2",5
"Sodium Palmate",5
"Sodium Palm Kernelate",5
"Tetra Sodium Etidronate",5
"Poligliseril-2 Dipolihidroksistearat",4
"Dehydroacetic Acid",4
"Disodyum Laureth Sülfosüksinat",4
